id,price,sale_price,title,link,image_link,brand,description,condition,product_type,availability
162256195,5999.0 RUB,1575.0 RUB,"Гель для стирки SYNERGETIC 2в1 с пятновыводителем 5л+5л, 330 стирок",https://www.wildberries.ru/catalog/162256195/detail.aspx/?targetUrl=EX,https://basket-11.wbbasket.ru/vol1622/part162256/162256195/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
162266940,4000.0 RUB,1034.0 RUB,"Кондиционер для белья детский SYNERGETIC 5л + 5л, 330 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/162266940/detail.aspx/?targetUrl=EX,https://basket-11.wbbasket.ru/vol1622/part162266/162266940/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
162319161,4000.0 RUB,1034.0 RUB,"Кондиционер для белья SYNERGETIC «Аромамагия» 5л + 5л, 330 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/162319161/detail.aspx/?targetUrl=EX,https://basket-11.wbbasket.ru/vol1623/part162319/162319161/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
162322583,4000.0 RUB,1034.0 RUB,"Кондиционер для белья SYNERGETIC «Лавандовое поле» 5л + 5л, 330 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/162322583/detail.aspx/?targetUrl=EX,https://basket-11.wbbasket.ru/vol1623/part162322/162322583/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
162385485,4000.0 RUB,1034.0 RUB,"Кондиционер для белья SYNERGETIC «Магическая орхидея» 5л + 5л, 330 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/162385485/detail.aspx/?targetUrl=EX,https://basket-11.wbbasket.ru/vol1623/part162385/162385485/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
162395530,4000.0 RUB,1034.0 RUB,"Кондиционер для белья SYNERGETIC «Реликтовый лес» 5л + 5л, 330 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/162395530/detail.aspx/?targetUrl=EX,https://basket-11.wbbasket.ru/vol1623/part162395/162395530/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
194015709,3300.0 RUB,842.0 RUB,"Гель для стирки SYNERGETIC 3 IN 1 «Магическая орхидея», 5 л",https://www.wildberries.ru/catalog/194015709/detail.aspx/?targetUrl=EX,https://basket-13.wbbasket.ru/vol1940/part194015/194015709/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
194018657,5999.0 RUB,1575.0 RUB,"Гель для стирки SYNERGETIC 3 IN 1 «Магическая орхидея», 5л+5л, 330 стирок",https://www.wildberries.ru/catalog/194018657/detail.aspx/?targetUrl=EX,https://basket-13.wbbasket.ru/vol1940/part194018/194018657/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
194020372,3300.0 RUB,842.0 RUB,"Гель для стирки SYNERGETIC UNIVERSAL «Бескрайний океан», 5 л",https://www.wildberries.ru/catalog/194020372/detail.aspx/?targetUrl=EX,https://basket-13.wbbasket.ru/vol1940/part194020/194020372/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
210255664,1499.0 RUB,482.0 RUB,"Мыло-пенка для рук и тела SYNERGETIC, 3 шт",https://www.wildberries.ru/catalog/210255664/detail.aspx/?targetUrl=EX,https://basket-14.wbbasket.ru/vol2102/part210255/210255664/images/big/1.webp,SYNERGETIC,"Сочный аромат для бодрого дня. Нежная и густая пена в 2 раза дольше используется, чем аналогичный объём жидкого мыла. Тренд 2025 года",new,Мыло-пенка,in stock
